11, sprinter, 4034.8363000000004, 8063.8896
12, steady, 12106.9817, 22212.526100000003
12, sprinter, 5044.9971, 10086.1207
13, steady, 12106.9817, 22212.526100000003
13, sprinter, 5044.9971, 10086.1207
14, steady, 8063.8896, 16149.1365
14, sprinter, 5044.9971, 11097.166799999999
Thunder Dash, steady, 8063.8896, 15142.6251
Thunder Dash, sprinter, 8063.8896, 15142.6251
Steady Star, steady, 10086.1207, 18176.0885
Steady Star, sprinter, 8063.8896, 14132.452
Final Sprint, steady, 7055.0993, 14132.452
Final Sprint, sprinter, 6053.150299999999, 11097.166799999999
Early Bird, steady, 14132.452, 26239.301900000002
Early Bird, sprinter, 6053.150299999999, 9077.474699999999
Maximillion, steady, 7055.0993, 13121.7417
Maximillion, sprinter, 6053.150299999999, 12106.9817
Oreo Milkshake, steady, 8063.8896, 15142.6251
Oreo Milkshake, sprinter, 8063.8896, 14132.452
Neighvana, steady, 12106.9817, 22212.526100000003
Neighvana, sprinter, 9077.474699999999, 15142.6251
Spray Tan, steady, 8063.8896, 15142.6251
Spray Tan, sprinter, 6053.150299999999, 11097.166799999999
Chillhooves, steady, 10086.1207, 19191.068000000003
Chillhooves, sprinter, 7055.0993, 13121.7417
Sad horse, steady, 11097.166799999999, 20194.0717
Sad horse, sprinter, 8063.8896, 14132.452
10, steady, 11097.166799999999, 21201.9481
10, sprinter, 4034.8363000000004, 7055.0993
11, steady, 20194.0717, 38368.0071
11, sprinter, 5044.9971, 9077.474699999999
12, steady, 12106.9817, 21201.9481
12, sprinter, 7055.0993, 14132.452
13, steady, 7055.0993, 13121.7417
13, sprinter, 3019.7683, 8063.8896
14, steady, 10086.1207, 19191.068000000003
14, sprinter, 3019.7683, 5044.9971
Thunder Dash, steady, 13121.7417, 25228.091200000003
Thunder Dash, sprinter, 6053.150299999999, 11097.166799999999
Steady Star, steady, 5044.9971, 10086.1207
Steady Star, sprinter, 6053.150299999999, 11097.166799999999
Final Sprint, steady, 9077.474699999999, 17162.0259
Final Sprint, sprinter, 8063.8896, 14132.452
