name,behavior,time_500,time_1000,time_1500,time_2000
Maximillion, finisher, 9081.372899999998, 14131.225999999999, 18155.9941, 21180.0778
Maximillion, frontrunner, 3022.4046, 6050.3853, 9081.372899999998, 14131.225999999999
Oreo Milkshake, steady, 7061.107800000001, 12110.2029, 18155.9941, 23191.2431
Oreo Milkshake, sprinter, 8070.993100000001, 15138.051899999999, 20174.3124, 25209.0436
Oreo Milkshake, finisher, 7061.107800000001, 12110.2029, 15138.051899999999, 19159.9218
Oreo Milkshake, frontrunner, 3022.4046, 7061.107800000001, 12110.2029, 18155.9941
Neighvana, steady, 11101.2326, 21180.0778, 30253.3062, 39339.9396
Neighvana, sprinter, 8070.993100000001, 15138.051899999999, 20174.3124, 26220.9308
Neighvana, finisher, 7061.107800000001, 11101.2326, 15138.051899999999, 18155.9941
Neighvana, frontrunner, 4036.3056999999994, 7061.107800000001, 12110.2029, 18155.9941
Spray Tan, steady, 14131.225999999999, 26220.9308, 37315.2105, 49431.2018
Spray Tan, sprinter, 6050.3853, 11101.2326, 16146.9875, 20174.3124
Spray Tan, finisher, 5046.5315, 9081.372899999998, 12110.2029, 15138.051899999999
Spray Tan, frontrunner, 3022.4046, 6050.3853, 9081.372899999998, 14131.225999999999
Chillhooves, steady, 8070.993100000001, 15138.051899999999, 22183.230799999998, 29251.233
Chillhooves, sprinter, 5046.5315, 8070.993100000001, 12110.2029, 16146.9875
Chillhooves, finisher, 6050.3853, 9081.372899999998, 12110.2029, 15138.051899999999
Chillhooves, frontrunner, 3022.4046, 6050.3853, 9081.372899999998, 15138.051899999999
Sad horse, steady, 18155.9941, 34284.0794, 51445.013699999996, 70625.2584
Sad horse, sprinter, 6050.3853, 12110.2029, 17148.9693, 21180.0778
Sad horse, finisher, 8070.993100000001, 13119.2636, 17148.9693, 21180.0778
Sad horse, frontrunner, 3022.4046, 7061.107800000001, 12110.2029, 21180.0778
10, steady, 21180.0778, 41357.9188, 62545.551999999996, 87773.23830000001
10, sprinter, 6050.3853, 10094.0281, 12110.2029, 15138.051899999999
10, finisher, 6050.3853, 11101.2326, 15138.051899999999, 21180.0778
10, frontrunner, 4036.3056999999994, 8070.993100000001, 13119.2636, 20174.3124
11, steady, 11101.2326, 20174.3124, 28243.1709, 37315.2105
11, sprinter, 6050.3853, 13119.2636, 20174.3124, 24199.9628
11, finisher, 6050.3853, 10094.0281, 15138.051899999999, 22183.230799999998
11, frontrunner, 4036.3056999999994, 9081.372899999998, 16146.9875, 29251.233
12, steady, 11101.2326, 21180.0778, 31258.2092, 40352.2226
12, sprinter, 4036.3056999999994, 7061.107800000001, 10094.0281, 13119.2636
12, finisher, 6050.3853, 10094.0281, 13119.2636, 17148.9693
12, frontrunner, 5046.5315, 9081.372899999998, 15138.051899999999, 21180.0778
13, steady, 12110.2029, 24199.9628, 35292.6887, 46397.1687
13, sprinter, 6050.3853, 10094.0281, 16146.9875, 22183.230799999998
13, finisher, 10094.0281, 16146.9875, 22183.230799999998, 28243.1709
13, frontrunner, 3022.4046, 7061.107800000001, 12110.2029, 22183.230799999998
14, steady, 8070.993100000001, 14131.225999999999, 21180.0778, 28243.1709
14, sprinter, 4036.3056999999994, 8070.993100000001, 14131.225999999999, 17148.9693
14, finisher, 6050.3853, 10094.0281, 14131.225999999999, 19159.9218
14, frontrunner, 5046.5315, 10094.0281, 17148.9693, 25209.0436
Thunder Dash, steady, 8070.993100000001, 15138.051899999999, 22183.230799999998, 28243.1709
Thunder Dash, sprinter, 5046.5315, 10094.0281, 14131.225999999999, 18155.9941
Thunder Dash, finisher, 6050.3853, 10094.0281, 13119.2636, 16146.9875
Thunder Dash, frontrunner, 4036.3056999999994, 8070.993100000001, 13119.2636, 20174.3124
Steady Star, steady, 9081.372899999998, 17148.9693, 24199.9628, 31258.2092
Steady Star, sprinter, 8070.993100000001, 14131.225999999999, 19159.9218, 23191.2431
Steady Star, finisher, 8070.993100000001, 13119.2636, 16146.9875, 18155.9941
Steady Star, frontrunner, 4036.3056999999994, 8070.993100000001, 12110.2029, 16146.9875
Final Sprint, steady, 7061.107800000001, 14131.225999999999, 20174.3124, 27232.0415
Final Sprint, sprinter, 9081.372899999998, 16146.9875, 22183.230799999998, 28243.1709
Final Sprint, finisher, 6050.3853, 9081.372899999998, 12110.2029, 14131.225999999999
Final Sprint, frontrunner, 3022.4046, 6050.3853, 11101.2326, 16146.9875
Early Bird, steady, 8070.993100000001, 15138.051899999999, 21180.0778, 28243.1709
Early Bird, sprinter, 7061.107800000001, 12110.2029, 15138.051899999999, 20174.3124
Early Bird, finisher, 6050.3853, 10094.0281, 13119.2636, 16146.9875
Early Bird, frontrunner, 3022.4046, 7061.107800000001, 11101.2326, 19159.9218
Maximillion, steady, 6050.3853, 12110.2029, 17148.9693, 22183.230799999998
Maximillion, sprinter, 4036.3056999999994, 9081.372899999998, 12110.2029, 17148.9693
Maximillion, finisher, 6050.3853, 10094.0281, 13119.2636, 16146.9875
Maximillion, frontrunner, 4036.3056999999994, 7061.107800000001, 12110.2029, 19159.9218
Oreo Milkshake, steady, 9081.372899999998, 17148.9693, 25209.0436, 32260.099299999998
Oreo Milkshake, sprinter, 6050.3853, 10094.0281, 15138.051899999999, 19159.9218
Oreo Milkshake, finisher, 6050.3853, 11101.2326, 14131.225999999999, 17148.9693
Oreo Milkshake, frontrunner, 3022.4046, 7061.107800000001, 11101.2326, 17148.9693
Neighvana, steady, 8070.993100000001, 15138.051899999999, 21180.0778, 28243.1709
Neighvana, sprinter, 7061.107800000001, 12110.2029, 17148.9693, 21180.0778
Neighvana, finisher, 6050.3853, 10094.0281, 14131.225999999999, 17148.9693
Neighvana, frontrunner, 4036.3056999999994, 8070.993100000001, 12110.2029, 19159.9218
